Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
физ. лицо,получение средств,2442.39,безналичный,Минск,Приорбанк-GTFX-779,31-07-2001,09:28:43,успешно,нет,0.0
физ. лицо,получение средств,232.81,наличный,Витебск,Белинвестбанк-MQFU-205,31-03-2012,09:46:21,успешно,нет,0.0
юр. лицо,получение средств,4311.76,безналичный,Гомель,Белинвестбанк-DRLR-810,14-10-2007,09:45:26,успешно,нет,0.0
юр. лицо,получение средств,1283.39,безналичный,Гродно,Беларусбанк-NKMN-811,12-08-2022,23:37:29,успешно,нет,0.0
юр. лицо,получение средств,1033.13,наличный,Витебск,Приорбанк-ZXWZ-797,30-10-2004,21:15:51,успешно,нет,0.0
физ. лицо,получение средств,4370.89,безналичный,Минск,Приорбанк-BBCF-656,22-04-2022,22:28:35,успешно,нет,0.0
физ. лицо,получение средств,292.59,безналичный,Гомель,Белинвестбанк-HMLG-664,01-12-2008,22:10:20,успешно,нет,0.0
юр. лицо,получение средств,3656.13,безналичный,Гродно,Белинвестбанк-RKLD-697,06-02-2019,07:15:47,успешно,нет,0.0
юр. лицо,получение средств,2759.1,безналичный,Гомель,Приорбанк-RUMK-213,01-08-2014,17:26:18,успешно,нет,0.0
физ. лицо,получение средств,1566.68,наличный,Гомель,Беларусбанк-BZXF-334,19-02-2020,19:42:53,успешно,нет,0.0
физ. лицо,получение средств,4007.52,наличный,Брест,БелАгропромбанк-RNRQ-248,01-01-2001,21:39:18,успешно,нет,0.0
физ. лицо,получение средств,408.26,безналичный,Гомель,БелАгропромбанк-LXHF-933,21-08-2023,18:56:54,успешно,нет,0.0
юр. лицо,списание средств,3873.53,наличный,Брест,БелАгропромбанк-LCAE-443,21-03-2022,00:01:29,недостаточно средств,да,373.13
юр. лицо,получение средств,1190.86,наличный,Витебск,БелАгропромбанк-RRVE-955,12-03-2014,22:03:45,успешно,нет,0.0
юр. лицо,получение средств,4754.74,безналичный,Брест,Приорбанк-RLNR-664,12-03-2020,12:55:34,успешно,нет,0.0
юр. лицо,получение средств,1033.8,безналичный,Минск,БелАгропромбанк-HCOQ-551,08-11-2024,16:10:46,успешно,нет,0.0
юр. лицо,получение средств,653.39,безналичный,Гомель,Белинвестбанк-WPLD-403,10-12-2010,11:24:49,успешно,нет,0.0
юр. лицо,списание средств,2135.96,безналичный,Могилев,Приорбанк-QLUM-360,16-02-2010,16:05:41,успешно,да,166.36
юр. лицо,получение средств,4043.63,безналичный,Гродно,Беларусбанк-HXBZ-618,30-12-2017,23:56:52,успешно,нет,0.0
юр. лицо,получение средств,1711.93,безналичный,Брест,Беларусбанк-RJWH-160,13-02-2011,04:07:10,успешно,нет,0.0
юр. лицо,списание средств,4222.2,наличный,Минск,Белинвестбанк-SOCM-419,26-01-2024,16:48:28,успешно,да,199.05
юр. лицо,списание средств,158.57,наличный,Витебск,БелАгропромбанк-JNKL-040,11-01-2003,00:45:14,успешно,нет,0.0
юр. лицо,списание средств,1032.25,наличный,Брест,Беларусбанк-ZRDG-702,01-10-2010,23:37:15,недостаточно средств,нет,0.0
физ. лицо,получение средств,3485.14,наличный,Брест,МаксБанк-PLXG-834,05-06-2005,02:05:40,успешно,нет,0.0
физ. лицо,списание средств,3802.2,безналичный,Витебск,МаксБанк-XKLE-033,08-04-2000,16:14:21,неправильный ввод пин-кода,да,221.36
юр. лицо,списание средств,2194.44,наличный,Витебск,Приорбанк-ROJD-577,02-08-2008,01:19:50,недостаточно средств,нет,0.0
юр. лицо,списание средств,3176.26,наличный,Брест,МаксБанк-UPXW-673,14-08-2022,12:58:19,успешно,нет,0.0
физ. лицо,получение средств,2785.72,безналичный,Брест,БелАгропромбанк-ITBI-992,28-04-2022,21:12:48,успешно,нет,0.0
юр. лицо,списание средств,291.12,наличный,Витебск,Белинвестбанк-ETWK-805,25-06-2015,10:15:55,недостаточно средств,нет,0.0
физ. лицо,получение средств,2736.13,безналичный,Витебск,БелАгропромбанк-BQYC-047,10-10-2016,18:24:13,успешно,нет,0.0
физ. лицо,списание средств,3822.09,безналичный,Гомель,Приорбанк-WFZO-325,12-11-2010,16:05:22,успешно,да,134.39
юр. лицо,получение средств,4344.96,наличный,Брест,БелАгропромбанк-IYSJ-145,05-01-2014,15:49:30,успешно,нет,0.0
юр. лицо,списание средств,1495.76,наличный,Могилев,МаксБанк-GHDL-489,24-02-2004,18:54:38,недостаточно средств,да,18.54
физ. лицо,списание средств,3967.5,безналичный,Минск,МаксБанк-JPGB-282,26-04-2012,01:36:42,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,3821.22,безналичный,Гродно,МаксБанк-FQDV-495,23-07-2002,17:23:49,неправильный ввод пин-кода,да,177.51
физ. лицо,списание средств,3515.88,безналичный,Гродно,Белинвестбанк-AMXF-484,27-07-2022,03:13:00,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,2205.24,безналичный,Гомель,Приорбанк-FGCH-512,02-11-2014,01:51:48,недостаточно средств,нет,0.0
юр. лицо,списание средств,1589.57,наличный,Минск,Беларусбанк-LLAN-663,16-06-2005,13:32:09,недостаточно средств,нет,0.0
физ. лицо,получение средств,2523.69,безналичный,Могилев,Приорбанк-SRZD-927,17-09-2012,06:50:21,успешно,нет,0.0
физ. лицо,списание средств,4.8,безналичный,Гомель,Приорбанк-JLAQ-705,20-11-2012,02:17:09,успешно,да,0.14
физ. лицо,получение средств,2545.91,безналичный,Витебск,МаксБанк-NLUC-801,10-09-2016,20:18:44,успешно,нет,0.0
физ. лицо,списание средств,476.6,безналичный,Витебск,Приорбанк-XGSQ-409,11-09-2015,05:52:49,недостаточно средств,нет,0.0
юр. лицо,списание средств,2110.75,наличный,Могилев,МаксБанк-YSBT-966,15-05-2005,18:24:35,успешно,нет,0.0
физ. лицо,списание средств,3132.0,наличный,Витебск,БелАгропромбанк-ENFL-907,27-05-2010,13:49:58,недостаточно средств,нет,0.0
юр. лицо,получение средств,3142.95,безналичный,Витебск,МаксБанк-GUDN-072,23-11-2012,01:19:16,успешно,нет,0.0
физ. лицо,получение средств,1376.72,безналичный,Минск,Беларусбанк-JHDX-254,23-05-2015,08:27:30,успешно,нет,0.0
юр. лицо,получение средств,1275.1,наличный,Могилев,БелАгропромбанк-QUHA-652,19-11-2022,12:37:33,успешно,нет,0.0
юр. лицо,списание средств,1780.25,наличный,Витебск,Белинвестбанк-NVLE-229,13-09-2002,07:04:15,успешно,нет,0.0
юр. лицо,списание средств,3300.32,безналичный,Гродно,Приорбанк-RHJT-953,22-01-2010,06:46:22,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,307.66,безналичный,Витебск,МаксБанк-SDLD-072,08-03-2008,18:32:33,успешно,нет,0.0
физ. лицо,получение средств,3647.95,безналичный,Гомель,Беларусбанк-LPJW-757,26-11-2006,01:52:43,успешно,нет,0.0
юр. лицо,списание средств,1286.9,безналичный,Витебск,Беларусбанк-AFES-800,16-08-2022,21:44:00,неправильный ввод пин-кода,да,105.27
юр. лицо,получение средств,2180.12,безналичный,Минск,МаксБанк-BHFY-049,22-04-2012,02:58:56,успешно,нет,0.0
физ. лицо,списание средств,3848.61,безналичный,Гродно,БелАгропромбанк-GYEN-243,08-07-2009,00:29:33,успешно,нет,0.0
юр. лицо,получение средств,4645.59,безналичный,Витебск,Приорбанк-IVTK-179,20-12-2009,11:40:51,успешно,нет,0.0
юр. лицо,списание средств,4719.91,безналичный,Брест,БелАгропромбанк-PFGQ-542,22-05-2020,22:21:32,недостаточно средств,да,349.65
юр. лицо,списание средств,1721.18,наличный,Брест,Белинвестбанк-XBCK-427,11-12-2015,10:26:54,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,2164.26,безналичный,Минск,БелАгропромбанк-KBXT-868,18-06-2015,06:53:34,успешно,нет,0.0
физ. лицо,списание средств,2394.98,безналичный,Могилев,БелАгропромбанк-DAZD-563,12-01-2019,19:44:18,успешно,да,208.05
физ. лицо,получение средств,4897.48,наличный,Витебск,Приорбанк-UJGI-034,23-09-2017,10:51:28,успешно,нет,0.0
юр. лицо,списание средств,3324.48,наличный,Витебск,Белинвестбанк-JCGO-190,09-01-2000,23:13:54,успешно,да,79.08
юр. лицо,получение средств,2234.01,наличный,Брест,Беларусбанк-KVVQ-388,10-07-2010,02:21:30,успешно,нет,0.0
физ. лицо,списание средств,2675.7,наличный,Гомель,МаксБанк-YUPU-860,26-07-2022,09:39:54,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,4200.09,наличный,Могилев,БелАгропромбанк-ULEK-875,25-10-2014,04:57:35,недостаточно средств,да,231.8
юр. лицо,списание средств,3545.67,безналичный,Брест,БелАгропромбанк-FXDV-468,19-12-2023,01:59:58,недостаточно средств,да,309.46
юр. лицо,списание средств,4956.56,безналичный,Гомель,Белинвестбанк-QXOB-518,05-02-2014,16:53:43,успешно,нет,0.0
юр. лицо,получение средств,2732.45,наличный,Минск,Приорбанк-XZSW-681,26-01-2018,23:44:22,успешно,нет,0.0
физ. лицо,получение средств,1440.43,безналичный,Гомель,Приорбанк-WRXJ-288,29-03-2003,05:33:39,успешно,нет,0.0
физ. лицо,получение средств,1102.1,наличный,Могилев,Приорбанк-RQRS-348,16-05-2003,07:38:37,успешно,нет,0.0
физ. лицо,получение средств,3785.53,безналичный,Гродно,Беларусбанк-YXJH-686,01-08-2020,20:14:00,успешно,нет,0.0
физ. лицо,получение средств,1059.44,безналичный,Могилев,БелАгропромбанк-DWZE-175,28-02-2006,13:52:45,успешно,нет,0.0
физ. лицо,получение средств,2963.51,наличный,Витебск,МаксБанк-FYSL-273,26-07-2024,19:19:52,успешно,нет,0.0
юр. лицо,списание средств,3690.37,наличный,Витебск,Беларусбанк-GHXC-706,18-03-2007,12:40:23,неправильный ввод пин-кода,да,235.48
юр. лицо,списание средств,801.03,наличный,Брест,Беларусбанк-ANKR-336,06-11-2019,07:06:41,недостаточно средств,да,75.27
юр. лицо,списание средств,1902.77,наличный,Витебск,МаксБанк-VZOR-027,01-07-2003,11:50:32,недостаточно средств,нет,0.0
физ. лицо,получение средств,4580.27,безналичный,Гродно,Приорбанк-TTMB-997,24-02-2012,15:03:39,успешно,нет,0.0
юр. лицо,списание средств,16.77,безналичный,Минск,Беларусбанк-YYBZ-975,05-08-2000,02:19:15,недостаточно средств,нет,0.0
физ. лицо,списание средств,3382.95,безналичный,Витебск,Беларусбанк-HYUM-389,15-08-2014,07:42:45,успешно,нет,0.0
юр. лицо,получение средств,4488.12,наличный,Гомель,БелАгропромбанк-LGHO-543,14-08-2013,13:31:53,успешно,нет,0.0
юр. лицо,получение средств,2215.9,безналичный,Могилев,БелАгропромбанк-WEXG-380,13-01-2008,14:04:39,успешно,нет,0.0
юр. лицо,списание средств,198.32,безналичный,Гродно,МаксБанк-KWDE-774,10-04-2022,00:46:55,недостаточно средств,нет,0.0
юр. лицо,списание средств,1859.93,наличный,Брест,Белинвестбанк-YFRQ-756,15-11-2015,01:40:16,неправильный ввод пин-кода,да,110.68
юр. лицо,списание средств,3355.42,безналичный,Могилев,Приорбанк-GYLP-469,06-07-2024,16:29:33,недостаточно средств,да,40.62
юр. лицо,списание средств,2913.14,безналичный,Могилев,БелАгропромбанк-MZES-816,17-07-2015,14:10:14,успешно,нет,0.0
физ. лицо,получение средств,2489.59,безналичный,Брест,Беларусбанк-KTEA-626,21-09-2022,20:10:59,успешно,нет,0.0
физ. лицо,получение средств,1684.07,безналичный,Могилев,Приорбанк-ESJA-988,31-03-2009,23:54:28,успешно,нет,0.0
физ. лицо,получение средств,1014.25,безналичный,Гродно,МаксБанк-RLRF-317,24-11-2002,14:03:42,успешно,нет,0.0
юр. лицо,списание средств,242.44,наличный,Гродно,МаксБанк-VBKS-553,10-08-2000,00:31:48,неправильный ввод пин-кода,да,8.72
юр. лицо,списание средств,68.59,безналичный,Могилев,Приорбанк-AXQW-593,11-12-2001,17:10:19,недостаточно средств,да,1.84
физ. лицо,списание средств,2250.16,безналичный,Гомель,Белинвестбанк-CXIQ-515,21-06-2020,16:52:00,недостаточно средств,да,42.84
физ. лицо,получение средств,2492.25,безналичный,Минск,Беларусбанк-FXGO-534,11-11-2020,08:42:16,успешно,нет,0.0
юр. лицо,списание средств,287.67,наличный,Витебск,Беларусбанк-LEML-715,14-08-2010,00:59:36,успешно,да,22.55
физ. лицо,списание средств,3095.06,наличный,Брест,Белинвестбанк-GMDM-798,09-06-2012,19:59:48,успешно,да,48.31
юр. лицо,списание средств,1689.13,наличный,Минск,Беларусбанк-ZLER-258,25-07-2003,18:05:41,недостаточно средств,да,100.28
юр. лицо,списание средств,3004.62,безналичный,Могилев,МаксБанк-ZRKO-598,29-11-2015,15:51:11,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,16.32,безналичный,Брест,Белинвестбанк-HMVW-063,19-01-2014,08:07:19,успешно,нет,0.0
юр. лицо,списание средств,3232.76,безналичный,Минск,Белинвестбанк-QLXR-877,18-08-2019,14:53:44,успешно,нет,0.0
физ. лицо,списание средств,3096.23,безналичный,Могилев,Белинвестбанк-TZQN-692,02-05-2011,18:45:57,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,3136.33,наличный,Минск,Приорбанк-JQFQ-777,23-10-2013,02:48:49,недостаточно средств,да,114.14
юр. лицо,списание средств,2757.78,безналичный,Брест,МаксБанк-NKPA-527,09-06-2021,08:10:28,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,2941.77,наличный,Минск,Приорбанк-ABZR-490,02-12-2005,07:48:47,неправильный ввод пин-кода,да,253.19
юр. лицо,списание средств,4053.58,наличный,Витебск,Беларусбанк-DIME-518,14-01-2018,05:31:26,недостаточно средств,да,46.41
физ. лицо,списание средств,3191.7,наличный,Брест,Приорбанк-CDRM-024,04-03-2008,02:31:57,неправильный ввод пин-кода,да,140.07
юр. лицо,списание средств,1431.41,наличный,Могилев,Беларусбанк-HOMU-398,16-12-2015,12:36:12,неправильный ввод пин-кода,да,48.38
юр. лицо,списание средств,271.72,безналичный,Могилев,Приорбанк-ZIEK-200,23-08-2022,23:46:02,недостаточно средств,нет,0.0
физ. лицо,списание средств,2523.34,наличный,Гродно,Приорбанк-XUGG-688,27-06-2011,05:59:22,неправильный ввод пин-кода,да,247.98
физ. лицо,списание средств,4316.6,безналичный,Могилев,Беларусбанк-ENYL-488,13-06-2023,23:58:34,успешно,да,402.42
юр. лицо,списание средств,2883.62,безналичный,Витебск,БелАгропромбанк-YMYO-154,12-09-2014,00:26:35,успешно,нет,0.0
физ. лицо,списание средств,4959.5,наличный,Витебск,Беларусбанк-GSII-360,24-08-2013,22:23:46,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,1546.79,безналичный,Витебск,Белинвестбанк-FTKZ-604,05-01-2019,00:16:06,успешно,нет,0.0
юр. лицо,списание средств,3916.63,наличный,Витебск,МаксБанк-ZMYT-595,12-03-2007,06:31:13,успешно,да,230.25
юр. лицо,списание средств,4677.83,наличный,Витебск,Беларусбанк-ARIQ-956,25-03-2024,05:41:50,успешно,да,64.14
физ. лицо,списание средств,1599.36,наличный,Витебск,БелАгропромбанк-NIQY-980,25-10-2012,04:19:38,недостаточно средств,да,145.63
юр. лицо,списание средств,3704.58,безналичный,Брест,Приорбанк-OUEU-958,08-06-2022,13:01:26,неправильный ввод пин-кода,да,102.81
физ. лицо,списание средств,4469.18,безналичный,Минск,Приорбанк-NUWE-575,01-04-2006,05:08:37,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,1253.54,наличный,Гродно,Приорбанк-UHJJ-311,15-11-2007,05:41:51,успешно,нет,0.0
юр. лицо,получение средств,2881.08,безналичный,Витебск,Приорбанк-BXUZ-054,31-03-2005,09:43:27,успешно,нет,0.0
физ. лицо,получение средств,398.87,безналичный,Гомель,Беларусбанк-SRWZ-826,23-09-2021,03:55:11,успешно,нет,0.0
юр. лицо,получение средств,342.6,безналичный,Витебск,Беларусбанк-RQSC-129,11-06-2015,00:08:58,успешно,нет,0.0
физ. лицо,списание средств,1806.58,безналичный,Гродно,Беларусбанк-RLZN-285,07-12-2003,15:12:28,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,2070.19,безналичный,Гродно,Белинвестбанк-GLTG-054,13-06-2000,05:14:03,успешно,нет,0.0
юр. лицо,получение средств,600.67,безналичный,Витебск,Белинвестбанк-INMM-669,30-09-2012,01:16:46,успешно,нет,0.0
юр. лицо,списание средств,360.09,наличный,Гродно,Белинвестбанк-DQBZ-533,15-11-2006,09:14:41,успешно,да,23.01
юр. лицо,получение средств,2166.38,безналичный,Гродно,Белинвестбанк-DXVL-865,06-02-2009,23:51:53,успешно,нет,0.0
физ. лицо,списание средств,4427.05,наличный,Минск,БелАгропромбанк-XWGH-401,09-12-2006,03:21:02,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,1294.72,наличный,Могилев,Приорбанк-HTBB-976,04-09-2009,10:08:37,неправильный ввод пин-кода,да,40.73
физ. лицо,списание средств,1129.06,безналичный,Могилев,МаксБанк-BMVC-450,25-08-2024,03:56:40,недостаточно средств,нет,0.0
юр. лицо,списание средств,4552.49,наличный,Витебск,БелАгропромбанк-FHRD-086,13-02-2000,09:39:29,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,2241.46,наличный,Гродно,БелАгропромбанк-EQMG-822,11-05-2000,18:20:52,успешно,нет,0.0
физ. лицо,списание средств,3284.21,безналичный,Брест,Белинвестбанк-RDJD-406,01-04-2000,12:22:27,успешно,да,325.34
юр. лицо,списание средств,4822.65,наличный,Гомель,Приорбанк-PLGE-804,09-03-2024,04:15:18,неправильный ввод пин-кода,да,472.31
физ. лицо,списание средств,964.27,безналичный,Брест,Беларусбанк-MACA-037,27-12-2009,01:29:53,неправильный ввод пин-кода,да,70.31
юр. лицо,получение средств,2269.34,безналичный,Витебск,Беларусбанк-NBQA-397,16-06-2011,10:06:43,успешно,нет,0.0
физ. лицо,списание средств,4313.08,безналичный,Гомель,МаксБанк-XQNK-345,07-08-2016,22:56:22,успешно,нет,0.0
физ. лицо,получение средств,3011.47,безналичный,Могилев,МаксБанк-WIRR-580,15-11-2004,22:35:50,успешно,нет,0.0
физ. лицо,получение средств,2007.44,наличный,Брест,БелАгропромбанк-TZBG-250,14-06-2023,01:17:37,успешно,нет,0.0
юр. лицо,получение средств,3094.93,наличный,Минск,Беларусбанк-MVHA-269,19-12-2011,17:31:52,успешно,нет,0.0
физ. лицо,получение средств,2657.54,безналичный,Гродно,Белинвестбанк-JRHR-571,20-12-2001,22:50:56,успешно,нет,0.0
физ. лицо,списание средств,3922.34,безналичный,Гомель,Беларусбанк-EJPG-420,15-06-2023,23:00:58,недостаточно средств,да,142.49
физ. лицо,списание средств,773.08,безналичный,Гродно,Беларусбанк-XYJN-002,08-04-2022,16:18:30,неправильный ввод пин-кода,да,60.25
физ. лицо,списание средств,1873.23,безналичный,Гродно,Приорбанк-WIJL-225,20-12-2004,00:37:42,успешно,нет,0.0
юр. лицо,получение средств,2789.54,наличный,Гродно,Приорбанк-RVYX-133,12-06-2002,07:38:31,успешно,нет,0.0
физ. лицо,получение средств,3304.1,наличный,Брест,БелАгропромбанк-OQLB-632,14-04-2023,04:58:35,успешно,нет,0.0
физ. лицо,получение средств,1911.26,безналичный,Гомель,Белинвестбанк-KYVL-419,23-07-2009,18:58:29,успешно,нет,0.0
юр. лицо,списание средств,688.08,безналичный,Могилев,МаксБанк-GUZQ-643,07-06-2002,20:47:35,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,4528.1,безналичный,Гродно,Белинвестбанк-MYEJ-058,23-01-2001,07:52:21,успешно,нет,0.0
физ. лицо,получение средств,419.12,наличный,Гродно,Беларусбанк-YVDI-806,10-09-2000,23:52:55,успешно,нет,0.0
физ. лицо,списание средств,3608.42,наличный,Гомель,Приорбанк-NJQN-098,21-08-2009,05:27:48,недостаточно средств,да,60.76
физ. лицо,списание средств,3445.24,безналичный,Гомель,МаксБанк-VQYJ-646,17-01-2010,22:04:12,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,4116.56,безналичный,Могилев,Приорбанк-HGEG-681,17-09-2005,04:54:49,недостаточно средств,да,249.55
физ. лицо,списание средств,4173.36,безналичный,Витебск,Беларусбанк-JCTE-074,02-01-2003,08:19:19,успешно,нет,0.0
юр. лицо,списание средств,3137.75,безналичный,Могилев,Приорбанк-IOTS-075,01-04-2018,11:19:30,недостаточно средств,да,265.41
физ. лицо,получение средств,4348.18,безналичный,Витебск,Белинвестбанк-FULT-384,21-03-2018,09:51:06,успешно,нет,0.0
юр. лицо,получение средств,3963.36,безналичный,Гродно,Приорбанк-SBEE-038,09-04-2002,17:03:39,успешно,нет,0.0
юр. лицо,списание средств,4333.72,безналичный,Могилев,Приорбанк-TJRO-257,10-10-2010,06:31:40,успешно,да,324.39
физ. лицо,получение средств,4198.7,безналичный,Могилев,Белинвестбанк-OAGB-359,11-02-2009,16:56:22,успешно,нет,0.0
физ. лицо,списание средств,404.9,безналичный,Могилев,Беларусбанк-APFP-909,26-09-2022,07:06:23,успешно,нет,0.0
юр. лицо,списание средств,4317.15,наличный,Витебск,Приорбанк-MEUM-821,23-12-2022,19:46:39,успешно,нет,0.0
физ. лицо,списание средств,633.3,безналичный,Минск,МаксБанк-ERPU-964,24-11-2013,17:25:56,успешно,нет,0.0
юр. лицо,получение средств,142.84,безналичный,Витебск,Беларусбанк-OMTN-327,14-06-2021,09:05:06,успешно,нет,0.0
юр. лицо,получение средств,3545.24,наличный,Могилев,Белинвестбанк-GFIF-734,09-04-2016,19:14:39,успешно,нет,0.0
юр. лицо,получение средств,360.07,наличный,Гомель,МаксБанк-IGXH-886,04-07-2022,05:03:50,успешно,нет,0.0
физ. лицо,получение средств,1427.1,безналичный,Минск,Белинвестбанк-EXAD-124,18-02-2016,11:37:19,успешно,нет,0.0
юр. лицо,списание средств,2732.39,безналичный,Витебск,БелАгропромбанк-QETB-878,13-04-2024,22:26:36,успешно,да,251.36
юр. лицо,списание средств,4069.02,безналичный,Гомель,Приорбанк-KDMH-608,03-08-2009,17:20:35,недостаточно средств,нет,0.0
физ. лицо,получение средств,1129.12,безналичный,Гомель,МаксБанк-BPSD-206,11-07-2018,21:25:16,успешно,нет,0.0
физ. лицо,получение средств,4035.7,наличный,Витебск,БелАгропромбанк-TCGS-928,17-08-2014,15:42:57,успешно,нет,0.0
физ. лицо,получение средств,2479.75,наличный,Гомель,Белинвестбанк-IFTH-353,28-12-2019,16:41:38,успешно,нет,0.0
юр. лицо,списание средств,2917.1,наличный,Могилев,Приорбанк-DFAT-580,05-04-2016,03:59:57,неправильный ввод пин-кода,да,219.28
физ. лицо,списание средств,1539.28,наличный,Витебск,Приорбанк-CIQP-570,05-08-2014,22:31:10,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,3943.65,безналичный,Могилев,Белинвестбанк-GPGA-947,10-09-2003,00:33:39,успешно,нет,0.0
юр. лицо,получение средств,236.83,безналичный,Брест,Белинвестбанк-FAPK-439,27-06-2001,12:22:10,успешно,нет,0.0
физ. лицо,списание средств,4878.71,безналичный,Витебск,Приорбанк-TSKB-255,26-09-2009,16:13:17,успешно,нет,0.0
юр. лицо,списание средств,951.53,безналичный,Гомель,Приорбанк-FVGT-831,18-11-2000,01:30:21,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,1941.63,безналичный,Гомель,БелАгропромбанк-BJQR-229,15-02-2016,12:50:17,неправильный ввод пин-кода,да,184.47
физ. лицо,получение средств,472.19,безналичный,Могилев,Приорбанк-QIIC-856,27-12-2015,02:03:53,успешно,нет,0.0
юр. лицо,получение средств,4448.44,наличный,Витебск,Белинвестбанк-DMQC-182,26-05-2013,06:03:46,успешно,нет,0.0
юр. лицо,списание средств,831.76,безналичный,Могилев,МаксБанк-ULXW-299,19-01-2013,13:28:48,успешно,да,59.55
юр. лицо,получение средств,1398.0,наличный,Могилев,БелАгропромбанк-OTAP-511,15-12-2001,19:40:45,успешно,нет,0.0
юр. лицо,получение средств,4165.95,безналичный,Гродно,МаксБанк-JJXG-072,22-03-2018,08:41:36,успешно,нет,0.0
юр. лицо,списание средств,4194.65,безналичный,Могилев,Приорбанк-NTQL-720,02-02-2008,11:05:58,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,4824.07,наличный,Минск,Белинвестбанк-GSLD-920,22-09-2001,04:30:07,успешно,нет,0.0
юр. лицо,получение средств,172.26,безналичный,Гродно,Приорбанк-QPUX-724,26-06-2014,03:03:37,успешно,нет,0.0
юр. лицо,получение средств,4327.18,безналичный,Могилев,МаксБанк-COYW-749,10-01-2013,00:32:08,успешно,нет,0.0
юр. лицо,получение средств,2101.7,наличный,Гродно,Белинвестбанк-BIES-802,21-12-2000,20:43:02,успешно,нет,0.0
юр. лицо,списание средств,4262.34,безналичный,Гомель,Белинвестбанк-NBQZ-429,01-03-2024,21:09:42,недостаточно средств,нет,0.0
физ. лицо,списание средств,3659.49,безналичный,Гомель,Белинвестбанк-SBYP-552,18-01-2005,11:49:44,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,3781.24,наличный,Гомель,БелАгропромбанк-NOHN-557,14-03-2013,02:08:52,успешно,нет,0.0
юр. лицо,списание средств,3649.41,наличный,Гомель,Белинвестбанк-QYLJ-672,31-12-2009,03:19:49,успешно,нет,0.0
физ. лицо,списание средств,1377.58,наличный,Гомель,Беларусбанк-YAWY-904,06-01-2024,13:02:28,неправильный ввод пин-кода,да,94.95
юр. лицо,получение средств,1953.98,наличный,Гродно,Приорбанк-BBSM-557,04-11-2002,17:38:19,успешно,нет,0.0
физ. лицо,списание средств,4856.83,безналичный,Витебск,Беларусбанк-MTOG-822,18-02-2012,22:58:34,недостаточно средств,да,339.64
юр. лицо,получение средств,342.59,наличный,Гродно,МаксБанк-WOWG-144,01-02-2002,08:40:11,успешно,нет,0.0
физ. лицо,получение средств,2277.23,безналичный,Гомель,МаксБанк-KYWU-281,16-11-2012,05:50:49,успешно,нет,0.0
юр. лицо,списание средств,2032.24,безналичный,Брест,Беларусбанк-KPJM-598,25-11-2018,16:36:45,неправильный ввод пин-кода,да,199.11
юр. лицо,списание средств,4338.94,безналичный,Витебск,МаксБанк-PYBA-965,05-03-2016,09:51:31,недостаточно средств,нет,0.0
физ. лицо,списание средств,1715.06,наличный,Витебск,Белинвестбанк-RCPV-511,03-06-2002,03:42:03,успешно,нет,0.0
юр. лицо,списание средств,3517.96,безналичный,Гродно,Приорбанк-DBCM-100,19-03-2006,03:11:58,недостаточно средств,нет,0.0
физ. лицо,списание средств,136.01,наличный,Витебск,Белинвестбанк-EDZT-032,02-05-2000,16:00:15,успешно,нет,0.0
юр. лицо,списание средств,1580.78,безналичный,Минск,МаксБанк-WGZQ-304,10-05-2001,10:33:20,успешно,нет,0.0
физ. лицо,списание средств,106.89,наличный,Витебск,Беларусбанк-BRWU-131,19-10-2011,09:39:29,неправильный ввод пин-кода,да,2.65
физ. лицо,списание средств,380.52,безналичный,Гродно,Белинвестбанк-ASHK-714,01-02-2007,18:02:35,неправильный ввод пин-кода,да,6.03
юр. лицо,списание средств,3970.54,безналичный,Витебск,Белинвестбанк-GUQX-255,25-12-2012,01:51:36,недостаточно средств,да,161.4
физ. лицо,списание средств,3892.48,безналичный,Гомель,БелАгропромбанк-UFCE-585,13-12-2010,13:47:12,неправильный ввод пин-кода,да,155.44
юр. лицо,списание средств,4504.06,безналичный,Могилев,Приорбанк-OTGB-866,01-04-2024,16:06:11,успешно,да,447.17
